row,file,s_file,name,s_name,profile,first_statement,locals,numparms,parm_start,parm_size
0,unknown.qc,0,func0_fs0,0,0,0,0,0,0,00000000
1,defs.qc,1,makevectors,9,0,-1,0,1,448,30000000
2,defs.qc,1,setorigin,21,0,-2,0,2,449,13000000
3,defs.qc,1,setmodel,31,0,-3,0,2,450,11000000
4,defs.qc,1,setsize,40,0,-4,0,3,451,13300000
5,defs.qc,1,break,48,0,-6,0,0,452,00000000
6,defs.qc,1,random,54,0,-7,0,0,453,00000000
7,defs.qc,1,sound,61,0,-8,0,5,454,11111000
8,defs.qc,1,normalize,67,0,-9,0,1,455,30000000
9,defs.qc,1,error,77,0,-10,0,1,456,10000000
10,defs.qc,1,objerror,83,0,-11,0,1,457,10000000
11,defs.qc,1,vlen,92,0,-12,0,1,458,30000000
12,defs.qc,1,vectoyaw,97,0,-13,0,1,459,30000000
13,defs.qc,1,spawn,106,0,-14,0,0,460,00000000
14,defs.qc,1,remove,112,0,-15,0,1,461,10000000
15,defs.qc,1,traceline,119,0,-16,0,4,462,33110000
16,defs.qc,1,checkclient,129,0,-17,0,0,463,00000000
17,defs.qc,1,find,141,0,-18,0,3,464,11100000
18,defs.qc,1,precache_sound,146,0,-19,0,1,465,10000000
19,defs.qc,1,precache_model,161,0,-20,0,1,466,10000000
20,defs.qc,1,stuffcmd,176,0,-21,0,2,467,11000000
21,defs.qc,1,findradius,185,0,-22,0,2,468,31000000
22,defs.qc,1,bprint,196,0,-23,0,1,469,10000000
23,defs.qc,1,sprint,203,0,-24,0,2,470,11000000
24,defs.qc,1,dprint,210,0,-25,0,1,471,10000000
25,defs.qc,1,ftos,217,0,-26,0,1,472,10000000
26,defs.qc,1,vtos,222,0,-27,0,1,473,30000000
27,defs.qc,1,coredump,227,0,-28,0,0,474,00000000
28,defs.qc,1,traceon,236,0,-29,0,0,475,00000000
29,defs.qc,1,traceoff,244,0,-30,0,0,476,00000000
30,defs.qc,1,eprint,253,0,-31,0,1,477,10000000
31,defs.qc,1,walkmove,260,0,-32,0,2,478,11000000
32,defs.qc,1,droptofloor,269,0,-34,0,0,479,00000000
33,defs.qc,1,lightstyle,281,0,-35,0,2,480,11000000
34,defs.qc,1,rint,292,0,-36,0,1,481,10000000
35,defs.qc,1,floor,297,0,-37,0,1,482,10000000
36,defs.qc,1,ceil,303,0,-38,0,1,483,10000000
37,defs.qc,1,checkbottom,308,0,-40,0,1,484,10000000
38,defs.qc,1,pointcontents,320,0,-41,0,1,485,30000000
39,defs.qc,1,fabs,334,0,-43,0,1,486,10000000
40,defs.qc,1,aim,339,0,-44,0,2,487,11000000
41,defs.qc,1,cvar,343,0,-45,0,1,488,10000000
42,defs.qc,1,localcmd,348,0,-46,0,1,489,10000000
43,defs.qc,1,nextent,357,0,-47,0,1,490,10000000
44,defs.qc,1,particle,365,0,-48,0,4,491,33110000
45,defs.qc,1,ChangeYaw,374,0,-49,0,0,492,00000000
46,defs.qc,1,vectoangles,384,0,-51,0,1,493,30000000
47,defs.qc,1,WriteByte,396,0,-52,0,2,494,11000000
48,defs.qc,1,WriteChar,406,0,-53,0,2,495,11000000
49,defs.qc,1,WriteShort,416,0,-54,0,2,496,11000000
50,defs.qc,1,WriteLong,427,0,-55,0,2,497,11000000
51,defs.qc,1,WriteCoord,437,0,-56,0,2,498,11000000
52,defs.qc,1,WriteAngle,448,0,-57,0,2,499,11000000
53,defs.qc,1,WriteString,459,0,-58,0,2,500,11000000
54,defs.qc,1,WriteEntity,471,0,-59,0,2,501,11000000
55,defs.qc,1,movetogoal,483,0,-67,0,1,502,10000000
56,defs.qc,1,precache_file,494,0,-68,0,1,503,10000000
57,defs.qc,1,makestatic,508,0,-69,0,1,504,10000000
